test_id,is_female
667,0.82
668,0.15
669,0.96
670,0.04
671,0.17
672,0.71
673,0.27
674,1
675,0.61
676,0.02
677,0.97
678,0.85
679,0.68
680,0.97
681,0.81
682,0.79
683,0.52
684,0.01
685,0.03
686,0.1
687,0.49
688,0.99
689,1
690,0.95
691,0.19
692,0.98
693,0.98
694,0.66
695,0.08
696,0.99
697,0.89
698,0.16
699,0.62
700,0.75
701,0.97
702,0.03
703,0.16
704,0.78
705,0.11
706,0.98
707,0.74
708,0.91
709,0.03
710,0.81
711,0.18
712,0.74
713,0.33
714,0.04
715,0.02
716,0.97
717,0.68
718,0.95
719,0.08
720,0.97
721,0.62
722,0.97
723,1
724,0.62
725,0.73
726,0.92
727,0.01
728,0.98
729,0.18
730,0.18
731,0.07
732,0.97
733,0.02
734,0.94
735,0.92
736,0.09
737,0.81
738,0.06
739,0.11
740,0.99
741,0.98
742,0.01
743,0.18
744,0.6
745,0.96
746,0.46
747,0.84
748,0.95
749,0.97
750,1
751,0.72
752,0.12
753,0.17
754,0.75
755,0.4
756,0.2
757,0.44
758,0.08
759,0.18
760,0.79
761,0.78
762,0
763,0.03
764,0.73
765,0.58
766,0.26
767,0.94
768,0.9
769,0.32
770,1
771,0.01
772,0.97
773,0.9
774,1
775,0.08
776,0.1
777,1
778,0.41
779,0.99
780,0.61
781,0.79
782,0.412767255
783,0.95
784,0.96
785,0.03
786,0.23
787,0.82
788,0.96
789,0.82
790,0.86
791,0.12
792,0.97
793,0.03
794,0.89
795,0.24
796,0.08
797,1
798,0.92
799,0.74
800,0.98
801,0.98
802,0.41
803,0.25
804,0.97
805,0.31
806,0.32
807,0.01
808,0.1
809,0.08
810,0.5
811,0.82
812,0.03
813,0.5
814,0.99
815,0.79
816,0.16
817,0.27
818,0.01
819,0.08
820,0.74
821,0.64
822,0.07
823,0.04
824,0.61
825,0.05
826,0.05
827,1
828,0.96
829,0.55
830,0.94
831,0.99
832,0.97
833,0.59
834,0.07
835,0.98
836,0.36
837,0.16
838,0.08
839,0.97
840,0.07
841,1
842,0.09
843,0.22
844,0.08
845,0.91
846,0.79
847,0.02
848,0.99
849,0.16
850,0.7
851,0.8
852,1
853,0.72
854,0.6
855,0.03
856,0.03
857,0.03
858,0.01
859,0.93
860,0.79
861,0.35
862,0.93
863,0.04
864,0.94
865,0.95
866,0.27
867,0.54
868,0.29
869,0.99
870,0.91
871,1
872,0.57
873,0.97
874,0.58
875,0.1
876,0.3
877,1
878,0.07
879,0.96
880,0.94
881,0.47
882,1
883,0.724639867
884,0.07
885,0.98
886,0.48
887,0.42
888,0.05
889,0.08
890,0.99
891,0.98
892,0.95
893,0.08
894,0.98
895,0.95
896,0.2
897,0.34
898,0.17
899,0.92
900,0.28
901,0.92
902,0.2
903,0.06
904,0.15
905,0.22
906,0.81
907,1
908,0.67
909,0.52
910,0.97
911,0.07
912,1
913,0.74
914,1
915,0.66
916,0.98
917,0.99
918,0.79
919,0.4
920,0.97
921,0.08
922,1
923,0.06
924,0.07
925,0.08
926,0.52633653
927,0.01
928,0.03
929,0.93
930,0.03
931,0.98
932,0.11
933,0.91
934,0.13
935,0.95
936,0.4
937,0.13
938,0.11
939,0.99
940,0.95
941,0.2
942,0.98
943,0.69
944,0.59
945,0
946,0.96
947,0.53
948,0.56
949,0.11
950,0.96
951,0.81
952,0.99
953,0.88
954,0.77
955,0.73
956,0.55
957,0
958,0.01
959,0.21
960,0.98
961,0.46
962,1
963,0.54
964,0.96
965,0.93
966,0.96
967,0.5
968,0.49
969,0.2
970,0.05
971,0.22
972,0.26
973,0.46
974,0.28
975,0.326338674
976,0.99
977,0.99
978,0.03
979,0.69
980,0.77
981,0.2
982,0.76
983,0.95
984,0.45
985,0.11
986,0.95
987,0.35
988,0.73
989,1
990,0.33
991,0.94
992,0.48
993,0.65
994,0.77
995,0.22
996,0.14
997,0.96
998,1
999,0.23
1000,0.9
1001,0.99
1002,0.88
1003,0.15
1004,0.08
1005,0.76
1006,0.06
1007,0.84
1008,0.14
1009,1
1010,0.81
1011,0.28
1012,0.63
1013,0.88
1014,0.06
1015,0.98
1016,0.01
1017,0.156338674
1018,0.68
1019,0.98
1020,0.12
1021,0.98
1022,1
1023,0.61
1024,0.04
1025,0.25
1026,0.99
1027,0.02
1028,0.99
1029,1
1030,0.98
1031,0.47
1032,0.16
1033,0.91
1034,0.03
1035,1
1036,0.72
1037,1
1038,0.37
1039,0.82
1040,0.99
1041,0.91
1042,0
1043,0.91
1044,0.87
1045,0.01
1046,0.98
1047,0.19
1048,0.97
1049,0.02
1050,0.93
1051,0.92
1052,0.03
1053,0.98
1054,0.97
1055,0.09
1056,0.67
1057,0.69
1058,0.97
1059,0.4
1060,0.06
1061,1
1062,0.99
1063,0.67
1064,0.26
1065,0.56
1066,0.06
1067,0.43
1068,0
1069,0.03
1070,0.06
1071,0.85
1072,0.15
1073,0.6
1074,0.88
1075,0.64
1076,0.45
1077,0.65
1078,0.95
1079,0.12
1080,0.11
1081,0.53
1082,0.06
1083,0.99
1084,0.85
1085,0.28
1086,0.01
1087,0.1
1088,0.99
1089,0.59
1090,0.18
1091,0.2
1092,0.03
1093,0.24
1094,0.5
1095,1
1096,0.1
1097,0.15
1098,0.2
1099,0.95
1100,0.99
1101,0.17
1102,0.8
1103,0.38
1104,0.62
1105,0.93
1106,0.99
1107,0.67
1108,0.78
1109,0.02
1110,0.59
1111,0.07
1112,0.66
1113,0.09
1114,1
1115,0.92
1116,0.63
1117,1
1118,0.96
1119,0.98
1120,0
1121,0.96
1122,0.97
1123,0.85
1124,0.95
1125,0.52
1126,0.98
1127,0.01
1128,0.33
1129,0.99
1130,0.12
1131,0.01
1132,0.9
1133,0.07
1134,0.99
1135,0.79
1136,0.99
1137,0.96
1138,0.77
1139,0.07
1140,0.23
1141,0.91
1142,0.8
1143,0.08
1144,0
1145,0.96
1146,0.85
1147,0.99
1148,0.2
1149,0.05
1150,0.9
1151,0.26
1152,0.23
1153,0.33
1154,0.81
1155,0.2
1156,0.32
1157,0.45
1158,0.96
1159,0.97
1160,0.13
1161,0.06
1162,0.77
1163,0.91
1164,0.98
1165,0
1166,0.12
1167,0.85
1168,0.19
1169,0.94
1170,0.72
1171,0.99
1172,0.62
1173,0.45
1174,0.464639867
1175,0.84
1176,0.06
1177,0.29
1178,0.99
1179,0.99
1180,0.5
1181,0.99
1182,0.93
1183,0.03
1184,0.38
1185,0.8
1186,0.98
1187,0.99
1188,0.28
1189,0.99
1190,0.05
1191,0.98
1192,0.65
1193,0.95
1194,0.89
1195,0.53
1196,0.05
1197,0.77
1198,0.02
1199,0.65
1200,0.99
1201,0.47
1202,0.57
1203,0.66
1204,0.65
1205,0.27
1206,0.02
1207,0.29
1208,0.22
1209,0.26
1210,0.05
1211,0.61
1212,0.04
1213,1
1214,0.02
1215,0.75
1216,0.29
1217,0.42
1218,0.98
1219,0.03
1220,0.06
1221,1
1222,0.12
1223,0.16
1224,0.96
1225,0.3
1226,0.57
1227,0.57
1228,0.9
1229,0.01
1230,0.98
1231,0.67
1232,0.57
1233,0.05
1234,0.06
1235,0.8
1236,0.97
1237,0.98
1238,0.39
1239,0.02
1240,0.9
1241,0.1
1242,0.98
1243,0.11
1244,0.94
1245,0.97
1246,0.93
1247,0.18
1248,0.19
1249,0.73
1250,0.99
1251,0.99
1252,0.17
1253,0.03
1254,1
1255,0.95
1256,0.82
1257,0.05
1258,0.76
1259,0.73
1260,0.3
1261,0.28
1262,0.46
1263,0.99
1264,0.96
1265,0.06
1266,0.61
1267,0.55
1268,0.9
1269,1
1270,0.41
1271,0.93
1272,0.42
1273,0.94
1274,0.41
1275,0.15
1276,0.13
1277,0.71
1278,0.91
1279,0.02
1280,0.66
1281,0.15
1282,0.49
1283,0.01
1284,0.61
1285,0.79
1286,0.68
1287,0.37
1288,0.17
1289,0.07
1290,0.49
1291,0.1
1292,0
1293,0.98
1294,0.21
1295,0.98
1296,0.42
1297,0.99
1298,0.99
1299,0.05
1300,0.76
1301,0.57
1302,0.32
1303,0.96
1304,0.79
1305,0.99
1306,0.07
1307,0.99
1308,0.92
1309,0.64
1310,0.31
1311,0.18
1312,0.96
1313,0.43
1314,0.07
1315,0.84
1316,1
1317,0.08
1318,0
1319,0.1
1320,0.98
1321,0.07
1322,0.91
1323,0.95
1324,0.11
1325,0.99
1326,0.91
1327,0.04
1328,0.07
1329,0.24
1330,0.98
1331,0.16
1332,0.03
1333,0.74
1334,0.28
1335,0.35
1336,0.04
1337,0.1
1338,0.75
1339,0.97
1340,0.11
1341,0
1342,0.03
1343,0.28
1344,0.98
1345,0.99
1346,0.99
1347,0.85
1348,0.97
1349,0.57
1350,0.24
1351,0.78
1352,0.12
1353,0
1354,1
1355,0.91
1356,0.12
1357,0.98
1358,0.11
1359,0.92
1360,0.66
1361,0.95
1362,0.99
1363,0.98
1364,0.09
1365,0.32
1366,0.82
1367,0.17
1368,0.84
1369,0.84
1370,0.77
1371,0.1
1372,0.5
1373,0.83
1374,0.79
1375,0.11
1376,0.68
1377,0.93
1378,0.8
1379,0.89
1380,0.94
1381,0.86
1382,0.55
1383,0.09
1384,0.6
1385,0.97
1386,0.2
1387,1
1388,0.03
1389,0.95
1390,0.8
1391,0.04
1392,0.36
1393,0.95
1394,0.16
1395,0.13
1396,0.6
1397,1
1398,0.95
1399,0.44
1400,0.11
1401,0.45
1402,0.91
1403,0.82
1404,0.79
1405,0.75
1406,0.21
1407,0.13
1408,1
1409,0.98
1410,0.32
1411,0.47
1412,0.02
1413,0.08
1414,0.07
1415,1
1416,0.94
1417,0.62
1418,0
1419,0.2
1420,0.25
1421,0.74
1422,0.02
1423,0.77
1424,0.58
1425,0.25
1426,0.56
1427,0.08
1428,0.99
1429,0.34
1430,1
1431,0.15
1432,0.79
1433,0.76
1434,0.29
1435,0.22
1436,1
1437,1
1438,0.07
1439,0.92
1440,0.28
1441,0.29
1442,0.17
1443,0.98
1444,0.87
1445,0.81
1446,0.09
1447,0.72
1448,0.69
1449,0.12
1450,0.14
1451,0.97
1452,0.17
1453,0.34
1454,0.05
1455,1
1456,0.75
1457,0.66
1458,0.63
1459,0.94
1460,0.38
1461,0.11
1462,0.97
1463,0.68
1464,0.15
1465,0.96
1466,0
1467,0.91
1468,0.99
1469,0.68
1470,0.01
1471,0.89
1472,0.06
1473,1
1474,0.66
1475,0.02
1476,0.49
1477,0.79
1478,0.27
1479,0.57
1480,0.97
1481,0.04
1482,0.14
1483,0.04
1484,0.98
1485,0.17
1486,0.08
1487,0.91
1488,0.99
1489,1
1490,0.78
1491,0.97
1492,0.67
1493,0.78
1494,0.18
1495,0.89
1496,0.08
1497,0.97
1498,0.02
1499,0.05
1500,0.99
1501,0.99
1502,0.86
1503,0.35
1504,0.98
1505,0.7
1506,0.13
1507,0.57
1508,0.48
1509,0.29
1510,0.93
1511,0.08
1512,0.04
1513,0.07
1514,0.5
1515,0.47
1516,0.18
1517,0.82
1518,0.95
1519,0.93
1520,0.85
1521,0.03
1522,0.16
1523,0.47
1524,0.07
1525,0.14
1526,0.57
1527,0.95
1528,0.29
1529,0.197759104
1530,0.94
1531,0.01
1532,0.35
1533,0.54
1534,0.14
1535,0.17
1536,0.8
1537,0.06
1538,0.43
1539,0.83
1540,0.03
1541,0.31
1542,0.91
1543,0.92
1544,0.53
1545,0.4
1546,0.04
1547,1
1548,0.96
1549,0.98
1550,0.94
1551,0.45
1552,0.44
1553,0.93
1554,0.98
1555,1
1556,0.97
1557,0.95
1558,0.1
1559,0.95
1560,1
1561,0.1
1562,0.04
1563,0.25
1564,0.98
1565,0.86
1566,0.97
1567,0.03
1568,0.04
1569,0.63
1570,0.93
1571,0.16
1572,0.23
1573,0.99
1574,0.52
1575,0.14
1576,0.16
1577,1
1578,0.44
1579,0.16
1580,0.42
1581,0.68
1582,0.41
1583,0.05
1584,0.91
1585,0.34
1586,0.65
1587,0.44
1588,0.37
1589,0.01
1590,0.59
1591,0.91
1592,0.94
1593,0.47
1594,0.89
1595,0.23
1596,0.03
1597,0.65
1598,0.08
1599,0.96
1600,0.33
1601,0.77
1602,0.9
1603,0.94
1604,1
1605,0.14
1606,0.65
1607,0.96
1608,0.93
1609,0.46
1610,0.49
1611,0.92
1612,1
1613,0.96
1614,0.32
1615,1
1616,0.88
1617,0.33
1618,0.44
1619,0.44
1620,0.99
1621,0.68
1622,0.55
1623,0.53
1624,0.19
1625,0.11
1626,0.11
1627,0.99
1628,0.92
1629,1
1630,0.07
1631,0.14
1632,0.04
1633,0.02
1634,0.03
1635,0.19
1636,0.38
1637,0.02
1638,0.04
1639,0.16
1640,0.11
1641,0.87
1642,0.03
1643,0.07
1644,0.01
1645,0.14
1646,0.96
1647,0.13
1648,0.86
1649,0.52
1650,0.05
1651,0.04
1652,0.69
1653,0.12
1654,0.51
1655,0.09
1656,0.1
1657,0.22
1658,0.95
1659,0.98
1660,0.75
1661,0.66
1662,0.59
1663,0.97
1664,0.47
1665,0.19
1666,1
1667,0.44
1668,1
1669,0.31
1670,0.01
1671,0.81
1672,0.78
1673,0.42
1674,0.34
1675,0.65
1676,0.53
1677,0.99
1678,0.98
1679,0.71
1680,1
1681,0.96
1682,0.1
1683,0.03
1684,1
1685,0.31
1686,0.24
1687,0.22
1688,0.07
1689,0.99
1690,0.91
1691,0.82
1692,0.21
1693,0.77
1694,0.51
1695,0.03
1696,0.42
1697,0.52
1698,0.05
1699,0.62
1700,0.97
1701,0.04
1702,0.17
1703,0.83
1704,0.26
1705,0.61
1706,0.99
1707,0.2
1708,0.94
1709,0.94
1710,0.09
1711,0.81
1712,0.69
1713,0.97
1714,0.71
1715,0.06
1716,0.98
1717,0.04
1718,0.99
1719,0.83
1720,0.43
1721,1
1722,0.94
1723,0.17
1724,0.4
1725,0.97
1726,0.01
1727,0.16
1728,0.67
1729,0.16
1730,0.15
1731,0.05
1732,0.1
1733,0.82
1734,0
1735,0.48
1736,0.97
1737,0.06
1738,0.07
1739,0.57
1740,0.97
1741,0.96
1742,1
1743,0.78
1744,0.65
1745,0.01
1746,0.3
1747,0.96
1748,0.04
1749,0.4
1750,0.98
1751,0.4
1752,1
1753,0.69
1754,0.94
1755,0.17
1756,0.68
1757,0.71
1758,0.15
1759,0.84
1760,0.92
1761,0.3
1762,0.99
1763,0.27
1764,0.03
1765,0.13
1766,0.74
1767,0.18
1768,0.09
1769,0.01
1770,0.72
1771,0.96
1772,0.77
1773,0.94
1774,0.3
1775,0.42
1776,0.93
1777,0.75
1778,0.78
1779,0.64
1780,0.13
1781,0.66
1782,0.41
1783,0.03
1784,0
1785,1
1786,0.97
1787,0.94
1788,0.21
1789,0.94
1790,0.13
1791,1
1792,0.01
1793,0.27
1794,0.1
1795,0.81
1796,0.23
1797,0.07
1798,0.6
1799,0.65
1800,0.31
1801,0.97
1802,0.39
1803,0.83
1804,0.97
1805,0.27
1806,0.93
1807,0
1808,0.32
1809,0.05
1810,0.03
1811,0.02
1812,0.97
1813,0.14
1814,0.33
1815,0.57
1816,0.26
1817,0.88
1818,0.99
1819,0.28
1820,0.77
1821,0.71
1822,0.17
1823,0.68
1824,0.08
1825,0.92
1826,0.99
1827,0.97
1828,0
1829,0.31
1830,0.96
1831,0.89
1832,0.04
1833,0.06
1834,0.17
1835,0
1836,0.23
1837,0.11
1838,0.83
1839,0.939279734
1840,0.08
1841,0.02
1842,0.52
1843,0.97
1844,0.98
1845,0.86
1846,0.39
1847,0
1848,0.92
1849,0.07
1850,0.04
1851,0.67
1852,0.97
1853,0.16
1854,0.97
1855,0.92
1856,0.92
1857,0.03
1858,0.41
1859,0.07
1860,0.48
1861,0.78
1862,0.11
1863,0.3
1864,0.08
1865,0.42
1866,0.21
1867,0.1
1868,0.61
1869,0.06
1870,0.46
1871,0.06
1872,0.89
1873,0.62
1874,0.74
1875,0.98
1876,0.79
1877,0.04
1878,0.16
1879,0.98
1880,0.13
1881,0.97
1882,0.14
1883,0.77
1884,0.98
1885,0.02
1886,0.02
1887,0.61
1888,0.02
1889,0.95
1890,0.66
1891,0.69
1892,0.02
1893,0.17
1894,0.97
1895,0.89
1896,0.56
1897,0.58
1898,0.7
1899,0.22
1900,0.09
1901,0.99
1902,0.95
1903,0.61
1904,0.13
1905,0.82
1906,0.14
1907,0.96
1908,0.12
1909,0.28
1910,0.99
1911,0.134639867
1912,1
1913,0.47
1914,0.83
1915,0.98
1916,1
1917,0.42
1918,0.77
1919,0.22
1920,0.76
1921,0.06
1922,0.99
1923,0.25
1924,0.78
1925,0.05
1926,0.67
1927,0.33
1928,0.97
1929,0.8
1930,0.98
1931,1
1932,0.97
1933,0
1934,0.89
1935,0.98
1936,0.97
1937,0.04
1938,0.02
1939,0.06
1940,0.63
1941,0.28
1942,1
1943,0.07
1944,0.01
1945,0.98
1946,0.15
1947,0.43
1948,0.6
1949,0.9
1950,0.9
1951,0.99
1952,0.69
1953,1
1954,0.06
1955,0.2
1956,0.86
1957,0.93
1958,0.56
1959,0.01
1960,0.94
1961,0.47
1962,0.81
1963,0.06
1964,0.44
1965,0.01
1966,0.94
1967,0.87
1968,0.98
1969,0.59
1970,0.95
1971,0.93
1972,0.02
1973,0.62
1974,0.91
1975,0.95
1976,1
1977,0.73
1978,0.89
1979,0.04
1980,1
1981,0.84
1982,0.18
1983,0.24
1984,0.73
1985,0.9
1986,0.16
1987,0.04
1988,0.22
1989,0.76
1990,0.05
1991,0.57
1992,0.94
1993,1
1994,0.38
1995,0.04
1996,0.94
1997,0.77
1998,0.95
1999,0.96
2000,0.97
2001,0.98
2002,0.9
2003,0.42
2004,0.01
2005,0.62
2006,1
2007,0.26
2008,0.11
2009,0.39
2010,0.03
2011,0.91
2012,0.51
2013,0.05
2014,0.27
2015,0.58
2016,0.13
2017,0.04
2018,0.63
2019,0.82
2020,0.02
2021,0.34
2022,0.1
2023,0.05
2024,0.06
2025,0.94
2026,0.99
2027,0.06
2028,0.01
2029,0
2030,0.1
2031,0.81
2032,0.01
2033,0.2
2034,0.03
2035,0.65
2036,0.03
2037,0.98
2038,0.86
2039,0.05
2040,0.75
2041,0.29
2042,0.98
2043,0.47
2044,0.97
2045,0
2046,0.13
2047,0.02
2048,0.87
2049,0.08
2050,0.55
2051,0.08
2052,0.72
2053,0.37
2054,0.02
2055,0.9
2056,0.29
2057,0.02
2058,0.11
2059,0.07
2060,0.07
2061,0.27
2062,0.24
2063,0.75
2064,0.93
2065,0.69
2066,0.7
2067,0.04
2068,0.34
2069,0.05
2070,0.86
2071,0.98
2072,0.24
2073,0.19
2074,0.52
2075,0.75
2076,0.45
2077,0.01
2078,0.11
2079,0.99
2080,0.07
2081,0.27
2082,1
2083,0.99
2084,0.81
2085,0.98
2086,0.95
2087,0.23
2088,1
2089,1
2090,0.69
2091,0.37
2092,0.11
2093,0.22
2094,0
2095,0.13
2096,0.44
2097,0.03
2098,0.98
2099,0.11
2100,1
2101,0.99
2102,0.89
2103,0.11
2104,0.97
2105,0.75
2106,0.52
2107,0.3
2108,0.95
2109,0
2110,0.27
2111,0.1
2112,0.93
2113,0.95
2114,0.11
2115,0.23
2116,0.05
2117,0.38
2118,0.73
2119,0.88
2120,0.45
2121,0.5
2122,0.2
2123,0.02
2124,0.14
2125,0.95
2126,0.63
2127,0.01
2128,0.74
2129,0.34
2130,0.95
2131,0.93
2132,0.58
2133,0.99
2134,0.45
2135,0.98
2136,0.96
2137,0.96
2138,0.97
2139,0.09
2140,0.88
2141,0.75
2142,0.12
2143,0.88
2144,0.09
2145,0.64
2146,0.91
2147,0.52
2148,0.97
2149,0.9
2150,1
2151,0.17
2152,0.82
2153,0.04
2154,0.07
2155,0.99
2156,0.98
2157,0.09
2158,0.4
2159,0.98
2160,0.02
2161,0.91
2162,0.1
2163,0.79
2164,0.16
2165,0.72
2166,0
2167,0.09
2168,0.02
2169,0.99
2170,1
2171,0.88
2172,0.02
2173,0.76
2174,1
2175,0.05
2176,1
2177,0.99
2178,0.98
2179,0.34
2180,0.97
2181,0.97
